,Object,Close Approach Date and Time,Close Approach Time Error,Close Approach Nominal Distance LD,Close Approach Minimum Distance LD,Minimum Distance Category,Diameter Min (m),Diameter Max (m),NEO Size Category,Relative Velocity (km/s),V Infinity (km/s),Relative Velocity Category,Absolute Magnitude (mag)
10233,(2011 CY46),2159,00:01,16.23,16.23,Mid-Distance,280.0,620.0,Large,14.95,14.94,Medium speed,19.9
10234,(2019 FU2),2159,07:32,7.42,7.42,Mid-Distance,18.0,39.0,Small,4.83,4.8,Slow,25.9
10235,(2009 FE19),2159,19:21,18.95,16.14,Mid-Distance,11.0,25.0,Small,7.31,7.31,Slow,26.9
10236,(2014 FO38),2159,00:03,12.14,12.14,Mid-Distance,14.0,32.0,Small,8.45,8.44,Slow,26.3
10237,(2020 SR1),2159,00:08,3.31,3.29,Mid-Distance,100.0,230.0,Large,10.0,9.97,Medium speed,22.1
10238,489486 (2007 GS3),2159,00:01,8.40,8.40,Mid-Distance,350.0,770.0,Large,9.0,8.99,Slow,19.4
10239,(2020 HW3),2159,02:04,15.59,15.18,Mid-Distance,100.0,230.0,Large,28.07,28.07,Fast,22.1
10240,(2013 JL22),2159,00:02,9.24,9.23,Mid-Distance,150.0,330.0,Large,19.18,19.17,Medium speed,21.3
10241,467460 (2006 JF42),2159,00:01,2.87,2.87,Far Away,380.0,860.0,Large,12.36,12.34,Medium speed,19.2
10242,(2012 KT12),2159,15:47,16.11,0.79,Close,12.0,26.0,Small,4.93,4.92,Slow,26.8
10243,(2014 JG55),2159,02:47,4.66,1.74,Far Away,3.8,8.6,Small,9.8,9.78,Slow,29.2
10244,66391 Moshup (1999 KW4),2159,00:01,10.19,10.19,Mid-Distance,1317.0,40.0,Small,21.38,21.38,Fast,16.6
10245,437844 (1999 MN),2159,00:04,14.84,14.78,Mid-Distance,160.0,350.0,Large,16.39,16.38,Medium speed,21.1
10246,(2019 MH1),2159,12:21,19.21,18.37,Mid-Distance,33.0,75.0,Large,16.75,16.75,Medium speed,24.5
10247,(2017 LX),2159,14:55,11.13,3.81,Mid-Distance,15.0,33.0,Small,18.76,18.76,Medium speed,26.3
10248,471323 (2011 KW15),2159,00:01,18.10,18.10,Mid-Distance,340.0,760.0,Large,18.77,18.76,Medium speed,19.5
10249,(2017 QC17),2159,00:03,18.93,18.87,Mid-Distance,97.0,220.0,Large,13.7,13.69,Medium speed,22.2
10250,(2016 OF),2159,00:04,4.35,4.34,Mid-Distance,61.0,140.0,Large,8.67,8.64,Slow,23.2
10251,(2006 TU7),2159,22:29,17.32,10.24,Mid-Distance,110.0,250.0,Large,12.04,12.04,Medium speed,21.9
10252,(2012 BA35),2159,05:58,11.25,11.01,Mid-Distance,48.0,110.0,Large,3.87,3.84,Slow,23.7
10253,(2012 BJ86),2159,18:16,5.90,5.41,Mid-Distance,150.0,330.0,Large,16.65,16.64,Medium speed,21.3
10254,363305 (2002 NV16),2159,02:13,13.95,13.95,Mid-Distance,140.0,320.0,Large,4.48,4.47,Slow,21.4
10255,(2021 TU1),2159,11:40,19.27,19.23,Mid-Distance,88.0,200.0,Large,14.27,14.26,Medium speed,22.4
10256,(1999 SH10),2159,01:32,11.14,10.77,Mid-Distance,76.0,170.0,Large,6.83,6.82,Slow,22.7
10257,(2019 SF6),2159,00:03,15.87,15.86,Mid-Distance,15.0,34.0,Small,8.66,8.65,Slow,26.2
10258,(2019 TV1),2159,04:42,16.55,16.32,Mid-Distance,17.0,38.0,Small,8.94,8.94,Slow,26.0
10259,(2019 UU7),2159,16:15,11.47,6.23,Mid-Distance,17.0,38.0,Small,8.47,8.46,Slow,26.0
10260,(2013 UM9),2159,00:10,6.37,6.36,Mid-Distance,32.0,71.0,Large,6.74,6.72,Slow,24.6
10261,363505 (2003 UC20),2159,00:20,15.61,15.59,Mid-Distance,1876.0,37.0,Small,8.26,8.25,Slow,18.3
10262,(2005 GJ8),2159,00:01,14.73,14.73,Mid-Distance,220.0,490.0,Large,14.25,14.25,Medium speed,20.4
10263,(2007 VV83),2159,12:58,15.87,15.83,Mid-Distance,31.0,68.0,Large,5.67,5.66,Slow,24.7
10264,(2006 WJ3),2159,00:02,13.26,13.25,Mid-Distance,270.0,600.0,Large,10.3,10.3,Medium speed,20.0
10265,(2012 XA133),2159,00:02,15.56,15.55,Mid-Distance,170.0,380.0,Large,24.61,24.6,Fast,21.0
10266,(2019 BB5),2159,17:41,14.87,9.83,Mid-Distance,12.0,27.0,Small,7.98,7.97,Slow,26.7
10267,(2021 XF),2159,13:21,6.83,3.73,Mid-Distance,5.7,13.0,Small,8.5,8.49,Slow,28.4
10268,(2006 UQ17),2159,00:26,13.67,13.66,Mid-Distance,110.0,250.0,Large,5.24,5.23,Slow,21.9
10269,(2018 LG16),2159,00:17,12.78,12.72,Mid-Distance,270.0,590.0,Large,13.62,13.62,Medium speed,20.0
10270,(2019 NA2),2159,01:47,17.48,17.47,Mid-Distance,180.0,410.0,Large,25.72,25.72,Fast,20.8
10271,(2019 VK),2159,15:35,4.21,1.01,Far Away,33.0,75.0,Large,7.4,7.37,Slow,24.5
10272,(2021 BA),2160,00:02,10.57,10.55,Mid-Distance,17.0,38.0,Small,10.25,10.24,Medium speed,26.0
10273,(2021 GT2),2160,17:30,19.24,18.93,Mid-Distance,37.0,83.0,Large,7.14,7.13,Slow,24.3
10274,27002 (1998 DV9),2160,04:12,5.68,5.44,Mid-Distance,600000.0,1300.0,Large,7.63,7.6,Slow,18.2
10275,(2017 ED4),2160,00:01,16.67,16.67,Mid-Distance,330.0,730.0,Large,15.57,15.56,Medium speed,19.5
10276,(2019 DB1),2160,04:40,15.14,10.03,Mid-Distance,28.0,62.0,Large,22.31,22.31,Fast,24.9
10277,(2016 EL1),2160,02:56,18.91,2.24,Far Away,7.3,16.0,Small,21.25,21.25,Fast,27.8
10278,(2016 BC14),2160,02:36,13.08,12.91,Mid-Distance,196.0,62.0,Large,5.29,5.27,Slow,20.9
10279,(2010 KC),2160,00:01,18.65,18.65,Mid-Distance,39.0,87.0,Large,17.22,17.21,Medium speed,24.2
10280,434734 (2006 FX),2160,00:05,4.38,4.36,Mid-Distance,270.0,590.0,Large,17.09,17.08,Medium speed,20.0
10281,(2015 FP35),2160,10:52,15.02,9.70,Mid-Distance,37.0,82.0,Large,13.46,13.46,Medium speed,24.3
10282,216523 (2001 HY7),2160,00:01,13.43,13.42,Mid-Distance,200.0,450.0,Large,11.58,11.58,Medium speed,20.6
10283,(2017 HK1),2160,13:57,14.54,13.45,Mid-Distance,25.0,57.0,Large,2.64,2.61,Slow,25.1
10284,(2020 EF),2160,11:13,18.79,16.72,Mid-Distance,15.0,34.0,Small,5.63,5.62,Slow,26.2
10285,(2019 FQ1),2160,17:21,9.54,7.63,Mid-Distance,9.7,22.0,Small,9.27,9.26,Slow,27.2
10286,(2007 GU4),2160,15:06,11.94,11.88,Mid-Distance,88.0,200.0,Large,13.34,13.34,Medium speed,22.4
10287,(2007 HL4),2160,00:01,12.93,12.93,Mid-Distance,40.0,90.0,Large,3.73,3.71,Slow,24.1
10288,(2020 FM6),2160,05:09,16.85,15.68,Mid-Distance,110.0,250.0,Large,17.13,17.13,Medium speed,21.9
10289,(2021 JN1),2160,10:48,18.01,16.63,Mid-Distance,30.0,66.0,Large,15.96,15.96,Medium speed,24.8
10290,279744 (1998 KM3),2160,12:01,15.08,11.79,Mid-Distance,310.0,680.0,Large,19.23,19.23,Medium speed,19.7
10291,(2013 ND15),2160,04:24,5.34,1.46,Far Away,40.0,90.0,Large,15.32,15.31,Medium speed,24.1
10292,(2020 QN1),2160,10:00,9.51,1.15,Far Away,61.0,140.0,Large,6.89,6.87,Slow,23.2
10293,101869 (1999 MM),2160,00:16,13.00,12.92,Mid-Distance,380.0,860.0,Large,19.08,19.07,Medium speed,19.2
10294,(2015 OQ21),2160,00:11,17.33,17.22,Mid-Distance,7.0,16.0,Small,9.07,9.06,Slow,27.9
10295,(2016 DJ),2160,14:38,10.76,10.45,Mid-Distance,20.0,45.0,Small,4.86,4.84,Slow,25.6
10296,(2016 QA2),2160,02:39,2.42,1.11,Far Away,25.0,57.0,Large,9.72,9.68,Slow,25.1
10297,(2021 DG1),2160,05:02,17.24,0.61,Close,100.0,230.0,Large,21.21,21.2,Fast,22.1
10298,(2017 SV17),2160,13:35,9.39,9.31,Mid-Distance,19.0,43.0,Small,7.46,7.44,Slow,25.7
10299,(2005 TU50),2160,00:50,19.21,18.93,Mid-Distance,140.0,310.0,Large,21.34,21.33,Fast,21.4
10300,(2003 VE1),2160,01:46,16.84,16.73,Mid-Distance,370.0,820.0,Large,12.72,12.71,Medium speed,19.3
10301,(2019 UH7),2160,00:02,12.35,12.34,Mid-Distance,8.6,19.0,Small,6.43,6.42,Slow,27.5
10302,(2014 TL17),2160,01:57,12.93,4.20,Mid-Distance,70.0,160.0,Large,9.19,9.19,Slow,22.9
10303,(2016 WW7),2160,21:57,18.73,13.93,Mid-Distance,12.0,26.0,Small,8.39,8.38,Slow,26.8
10304,(2009 WB105),2160,00:01,19.26,19.21,Mid-Distance,54.0,120.0,Large,19.04,19.03,Medium speed,23.5
10305,(2012 XT111),2160,01:03,18.47,18.35,Mid-Distance,18.0,39.0,Small,12.74,12.74,Medium speed,25.9
10306,(2000 AE205),2160,00:05,10.57,10.57,Mid-Distance,67.0,150.0,Large,2.96,2.93,Slow,23.0
10307,(2015 CL),2160,01:34,16.26,16.19,Mid-Distance,22.0,49.0,Small,14.86,14.86,Medium speed,25.4
10308,(2021 BA),2161,00:01,3.66,3.65,Mid-Distance,17.0,38.0,Small,9.87,9.84,Slow,26.0
10309,(2013 AT72),2161,00:38,12.65,12.60,Mid-Distance,38.0,86.0,Large,12.72,12.71,Medium speed,24.2
10310,(2022 AB),2161,03:53,10.68,9.75,Mid-Distance,51.0,110.0,Large,6.12,6.1,Slow,23.6
10311,(2011 BG24),2161,04:57,9.72,9.27,Mid-Distance,13.0,28.0,Small,6.61,6.59,Slow,26.6
10312,(2014 DQ),2161,00:23,3.96,3.94,Mid-Distance,31.0,68.0,Large,5.75,5.71,Slow,24.7
10313,(2013 VA10),2161,09:09,5.42,3.87,Mid-Distance,92.0,210.0,Large,26.14,26.14,Fast,22.3
10314,(2001 CP36),2161,01:03,6.55,6.51,Mid-Distance,48.0,110.0,Large,8.81,8.79,Slow,23.7
10315,(2000 EM26),2161,00:03,12.11,12.09,Mid-Distance,84.0,190.0,Large,11.83,11.83,Medium speed,22.5
10316,(2009 DM45),2161,00:02,6.18,6.17,Mid-Distance,150.0,340.0,Large,17.67,17.66,Medium speed,21.2
10317,(2021 RN14),2161,13:32,12.41,3.59,Mid-Distance,11.0,25.0,Small,13.03,13.03,Medium speed,26.9
10318,(2013 FX7),2161,00:03,17.31,17.31,Mid-Distance,130.0,280.0,Large,8.42,8.41,Slow,21.6
10319,(2015 DJ215),2161,01:00,5.32,5.28,Mid-Distance,40.0,89.0,Large,4.24,4.2,Slow,24.1
10320,(2015 FC35),2161,00:02,18.69,18.68,Mid-Distance,100.0,230.0,Large,14.42,14.42,Medium speed,22.1
10321,503911 (2002 FD6),2161,00:13,3.47,3.46,Mid-Distance,92.0,210.0,Large,11.32,11.29,Medium speed,22.3
10322,(2020 FL6),2161,14:15,9.52,5.80,Mid-Distance,23.0,52.0,Large,11.46,11.45,Medium speed,25.3
10323,436774 (2012 KY3),2161,00:01,11.54,11.54,Mid-Distance,540000.0,1200.0,Large,18.27,18.27,Medium speed,18.5
10324,(2020 KR2),2161,23:13,16.65,13.15,Mid-Distance,13.0,28.0,Small,3.45,3.44,Slow,26.6
10325,363116 (2001 GQ2),2161,00:07,17.83,17.78,Mid-Distance,250.0,560.0,Large,18.22,18.21,Medium speed,20.1
10326,(2019 JY1),2161,12:55,5.91,1.96,Far Away,6.1,14.0,Small,6.79,6.77,Slow,28.2
10327,(2016 JC6),2161,00:05,10.14,10.14,Mid-Distance,192.0,54.0,Large,5.7,5.68,Slow,21.4
10328,(2019 VY3),2161,00:17,19.17,19.16,Mid-Distance,77.0,170.0,Large,9.27,9.27,Slow,22.7
10329,(2020 TE2),2161,14:53,15.03,10.83,Mid-Distance,15.0,33.0,Small,6.82,6.81,Slow,26.3
10330,(2017 FE1),2161,10:16,11.11,5.84,Mid-Distance,250.0,570.0,Large,10.07,10.06,Medium speed,20.1
10331,423321 (2005 ED318),2161,00:05,5.67,5.67,Mid-Distance,202.0,14.0,Small,6.4,6.37,Slow,20.8
10332,(2013 YA14),2161,21:44,12.21,8.50,Mid-Distance,51.0,110.0,Large,10.96,10.96,Medium speed,23.6
10333,(2021 EL4),2161,02:54,16.01,11.85,Mid-Distance,18.0,41.0,Small,7.43,7.42,Slow,25.8
10334,(2021 RC10),2161,19:06,16.79,16.78,Mid-Distance,45.0,100.0,Large,8.63,8.62,Slow,23.8
10335,(2008 GO20),2161,00:14,12.66,12.64,Mid-Distance,86.0,190.0,Large,9.92,9.91,Slow,22.5
10336,162825 (2001 BO61),2161,00:01,10.97,10.97,Mid-Distance,660000.0,1500.0,Large,24.79,24.79,Fast,18.0
10337,(2021 SB),2161,15:25,15.61,14.67,Mid-Distance,16.0,36.0,Small,10.94,10.94,Medium speed,26.1
10338,(2018 RH6),2161,20:39,6.01,5.90,Mid-Distance,8.4,19.0,Small,6.57,6.54,Slow,27.5
10339,(2019 SF6),2161,00:06,18.68,18.67,Mid-Distance,15.0,34.0,Small,8.51,8.5,Slow,26.2
10340,(2019 SG4),2161,06:12,13.17,13.15,Mid-Distance,31.0,68.0,Large,14.54,14.54,Medium speed,24.7
10341,(2018 TF5),2161,14:35,18.38,4.53,Mid-Distance,22.0,49.0,Small,10.34,10.33,Medium speed,25.4
10342,(2018 RY1),2161,00:01,2.36,2.35,Far Away,34.0,77.0,Large,8.14,8.08,Slow,24.4
10343,(2014 US7),2161,00:54,12.19,11.00,Mid-Distance,13.0,28.0,Small,9.57,9.56,Slow,26.6
10344,(2021 RU12),2161,08:54,12.01,11.41,Mid-Distance,130.0,280.0,Large,14.17,14.17,Medium speed,21.6
10345,(2017 UP6),2161,20:36,13.20,13.04,Mid-Distance,16.0,36.0,Small,12.09,12.08,Medium speed,26.1
10346,(2011 VU5),2161,11:10,5.95,1.81,Far Away,220.0,490.0,Large,19.37,19.37,Medium speed,20.4
10347,(2010 TU149),2161,04:20,17.11,15.68,Mid-Distance,603.0,195.0,Large,25.99,25.98,Fast,20.7
10348,(2020 KO5),2161,02:19,15.43,15.38,Mid-Distance,96.0,210.0,Large,20.34,20.33,Fast,22.2
10349,(2005 JU81),2161,00:19,10.69,10.67,Mid-Distance,120.0,260.0,Large,12.08,12.07,Medium speed,21.8
10350,33342 (1998 WT24),2161,00:02,17.18,17.18,Mid-Distance,432.0,28.0,Small,8.48,8.48,Slow,17.9
10351,(2020 WP1),2161,00:03,8.48,8.47,Mid-Distance,240.0,540.0,Large,23.47,23.46,Fast,20.2
10352,(2019 YA3),2161,14:20,4.62,0.93,Close,15.0,34.0,Small,7.93,7.9,Slow,26.2
10353,(2017 RO17),2161,13:12,17.03,8.22,Mid-Distance,16.0,36.0,Small,11.9,11.89,Medium speed,26.1
10354,(2009 XP2),2161,10:02,6.63,4.08,Mid-Distance,24.0,54.0,Large,6.4,6.38,Slow,25.2
10355,3757 Anagolay (1982 XB),2161,00:05,18.16,18.16,Mid-Distance,500.0,500.0,Large,5.79,5.78,Slow,18.9
10356,(2014 XJ3),2161,00:01,7.91,7.91,Mid-Distance,260.0,570.0,Large,21.53,21.52,Fast,20.1
10357,(2021 BA),2162,00:02,10.86,10.84,Mid-Distance,17.0,38.0,Small,10.28,10.27,Medium speed,26.0
10358,(2020 YE5),2162,07:10,10.65,7.80,Mid-Distance,19.0,42.0,Small,9.52,9.51,Slow,25.8
10359,504256 (2006 VD13),2162,00:08,12.29,12.28,Mid-Distance,440.0,990.0,Large,9.12,9.11,Slow,18.9
10360,(2001 BB16),2162,00:29,9.62,9.46,Mid-Distance,61.0,140.0,Large,3.34,3.31,Slow,23.2
10361,(2015 XW377),2162,00:06,13.69,13.68,Mid-Distance,120.0,260.0,Large,10.83,10.83,Medium speed,21.8
10362,(2016 EW1),2162,01:08,10.73,10.71,Mid-Distance,24.0,54.0,Large,12.86,12.85,Medium speed,25.2
10363,(2016 TQ11),2162,02:30,17.22,17.02,Mid-Distance,19.0,43.0,Small,5.52,5.51,Slow,25.7
10364,(2019 CL2),2162,11:24,18.70,11.68,Mid-Distance,58.0,130.0,Large,6.63,6.62,Slow,23.3
10365,(2014 GC49),2162,06:20,10.65,0.93,Close,5.1,11.0,Small,16.12,16.11,Medium speed,28.6
10366,162695 (2000 UL11),2162,00:07,14.42,14.40,Mid-Distance,250.0,570.0,Large,16.11,16.1,Medium speed,20.1
10367,(2020 GA2),2162,10:04,9.02,7.32,Mid-Distance,150.0,340.0,Large,24.68,24.68,Fast,21.2
10368,(2011 GC62),2162,18:31,18.25,8.95,Mid-Distance,51.0,110.0,Large,11.69,11.69,Medium speed,23.6
10369,(2018 GO4),2162,00:03,10.69,10.69,Mid-Distance,33.0,75.0,Large,9.88,9.87,Slow,24.5
10370,(2012 HP13),2162,02:39,3.38,1.84,Far Away,38.0,86.0,Large,12.87,12.85,Medium speed,24.2
10371,528159 (2008 HS3),2162,00:01,18.82,18.82,Mid-Distance,130.0,290.0,Large,5.52,5.51,Slow,21.6
10372,(1999 FN19),2162,00:01,10.38,10.38,Mid-Distance,84.0,190.0,Large,5.68,5.67,Slow,22.5
10373,(2015 KX56),2162,20:08,16.38,10.87,Mid-Distance,18.0,41.0,Small,8.04,8.03,Slow,25.8
10374,(2017 FU90),2162,07:16,16.11,14.24,Mid-Distance,24.0,54.0,Large,18.51,18.5,Medium speed,25.2
10375,(2017 HZ4),2162,20:48,0.95,0.17,Close,18.0,41.0,Small,6.16,5.98,Slow,25.8
10376,(2002 LR24),2162,15:02,9.30,8.25,Mid-Distance,37.0,82.0,Large,11.31,11.3,Medium speed,24.3
10377,(2019 XW),2162,07:17,10.37,9.63,Mid-Distance,44.0,99.0,Large,14.48,14.47,Medium speed,23.9
10378,6489 Golevka (1991 JX),2162,00:01,16.13,16.13,Mid-Distance,530.0,30.0,Small,8.57,8.56,Slow,19.2
10379,(2020 SR6),2162,15:04,8.50,7.88,Mid-Distance,19.0,43.0,Small,5.49,5.47,Slow,25.7
10380,(2010 CB55),2162,00:01,16.62,16.62,Mid-Distance,198.0,4.0,Small,13.96,13.96,Medium speed,22.7
10381,(2021 EW2),2162,12:23,19.16,18.98,Mid-Distance,100.0,230.0,Large,18.85,18.84,Medium speed,22.1
10382,(2008 PR9),2162,00:01,16.91,16.91,Mid-Distance,86.0,190.0,Large,15.04,15.03,Medium speed,22.5
10383,(2009 RU1),2162,01:49,13.53,13.31,Mid-Distance,38.0,86.0,Large,9.42,9.41,Slow,24.2
10384,(2020 KR2),2162,02:55,9.61,9.50,Mid-Distance,13.0,28.0,Small,4.69,4.67,Slow,26.6
10385,(2017 AY13),2162,20:10,9.41,6.64,Mid-Distance,130.0,300.0,Large,12.75,12.75,Medium speed,21.5
10386,523809 (2007 TV18),2162,18:12,7.56,1.11,Far Away,46.0,100.0,Large,10.8,10.79,Medium speed,23.8
10387,(2016 RQ1),2162,04:03,16.86,16.59,Mid-Distance,29.0,65.0,Large,6.14,6.13,Slow,24.8
10388,(2006 SS134),2162,00:01,9.99,9.99,Mid-Distance,140.0,310.0,Large,17.2,17.19,Medium speed,21.4
10389,68216 (2001 CV26),2162,00:04,8.80,8.80,Mid-Distance,994.0,42.0,Small,12.12,12.11,Medium speed,16.5
10390,363027 (1998 ST27),2162,00:01,16.81,16.81,Mid-Distance,578.0,228.0,Large,16.16,16.16,Medium speed,19.6
10391,(2006 TL),2162,00:01,18.86,18.85,Mid-Distance,44.0,99.0,Large,12.71,12.71,Medium speed,23.9
10392,(2020 TK4),2162,07:12,8.10,5.91,Mid-Distance,15.0,33.0,Small,8.97,8.96,Slow,26.3
10393,(2017 TK6),2162,00:01,18.54,18.54,Mid-Distance,32.0,71.0,Large,11.83,11.82,Medium speed,24.6
10394,(2013 VA12),2162,14:56,18.29,15.19,Mid-Distance,77.0,170.0,Large,12.86,12.85,Medium speed,22.7
10395,250680 (2005 QC5),2162,00:01,18.75,18.74,Mid-Distance,398.0,7.0,Small,11.63,11.63,Medium speed,19.6
10396,(1998 VS),2162,07:59,17.07,16.79,Mid-Distance,92.0,210.0,Large,5.25,5.24,Slow,22.3
10397,(2001 KF54),2162,01:01,10.22,10.19,Mid-Distance,250.0,570.0,Large,15.42,15.41,Medium speed,20.1
10398,(1993 KA2),2162,13:50,9.54,6.45,Mid-Distance,4.2,9.4,Small,23.31,23.3,Fast,29.0
10399,(2015 VH65),2162,16:09,11.28,7.76,Mid-Distance,7.7,17.0,Small,8.61,8.6,Slow,27.7
10400,(2016 EU85),2162,00:35,13.70,13.70,Mid-Distance,340.0,760.0,Large,8.23,8.22,Slow,19.5
10401,(2014 WF201),2162,03:53,15.50,14.88,Mid-Distance,20.0,45.0,Small,4.75,4.74,Slow,25.6
10402,(2019 QY1),2162,00:01,14.28,14.27,Mid-Distance,180.0,410.0,Large,17.85,17.84,Medium speed,20.8
10403,(2016 WR8),2162,05:29,6.69,6.69,Mid-Distance,8.8,20.0,Small,11.74,11.73,Medium speed,27.4
10404,(2015 VC2),2162,15:45,12.75,11.31,Mid-Distance,8.8,20.0,Small,2.18,2.14,Slow,27.4
10405,481817 (2008 UL90),2162,00:01,17.50,17.49,Mid-Distance,500000.0,1100.0,Large,13.25,13.24,Medium speed,18.6
10406,(2013 XY20),2162,00:11,16.03,16.01,Mid-Distance,20.0,45.0,Small,2.3,2.27,Slow,25.6
10407,(2020 AB),2162,02:09,6.28,6.25,Mid-Distance,17.0,38.0,Small,6.36,6.33,Slow,26.0
10408,230549 (2003 BH),2163,00:03,12.99,12.98,Mid-Distance,217.0,4.0,Small,9.62,9.61,Slow,20.5
10409,(2003 BR47),2163,06:35,17.13,10.48,Mid-Distance,140.0,310.0,Large,11.01,11.0,Medium speed,21.4
10410,(2019 AO11),2163,21:10,17.82,17.80,Mid-Distance,22.0,49.0,Small,6.8,6.79,Slow,25.4
10411,(2019 BE5),2163,08:12,5.64,3.72,Mid-Distance,25.0,57.0,Large,13.25,13.23,Medium speed,25.1
10412,(2020 QV1),2163,14:29,16.13,7.78,Mid-Distance,38.0,86.0,Large,6.14,6.13,Slow,24.2
10413,(2022 BS4),2163,00:10,11.34,11.21,Mid-Distance,24.0,53.0,Large,11.67,11.66,Medium speed,25.3
10414,(2015 CL),2163,02:34,5.14,3.51,Mid-Distance,22.0,49.0,Small,14.44,14.43,Medium speed,25.4
10415,(2022 DW1),2163,04:43,14.29,9.16,Mid-Distance,23.0,52.0,Large,12.46,12.45,Medium speed,25.3
10416,(2002 AT4),2163,17:27,19.42,18.99,Mid-Distance,150.0,340.0,Large,5.59,5.58,Slow,21.2
10417,(1994 GL),2163,00:02,10.74,10.74,Mid-Distance,21.0,47.0,Small,9.23,9.22,Slow,25.5
10418,(2021 HB2),2163,04:22,15.63,2.77,Far Away,5.7,13.0,Small,6.59,6.58,Slow,28.3
10419,(2019 HH3),2163,23:26,9.23,9.19,Mid-Distance,21.0,47.0,Small,12.56,12.55,Medium speed,25.5
10420,(2012 XO134),2163,00:13,10.17,10.16,Mid-Distance,42.0,94.0,Large,11.76,11.75,Medium speed,24.0
10421,(2015 KJ122),2163,00:04,15.22,15.19,Mid-Distance,110.0,240.0,Large,22.31,22.3,Fast,22.0
10422,(2010 FA81),2163,00:01,15.42,15.41,Mid-Distance,97.0,16.0,Small,8.39,8.38,Slow,22.4
10423,388945 (2008 TZ3),2163,00:01,13.65,13.65,Mid-Distance,220.0,480.0,Large,9.67,9.66,Slow,20.5
10424,(2020 HC6),2163,06:51,3.70,3.18,Mid-Distance,22.0,49.0,Small,6.26,6.21,Slow,25.4
10425,(2002 JX8),2163,02:01,6.81,6.78,Mid-Distance,220.0,490.0,Large,5.54,5.52,Slow,20.4
10426,(2013 YD48),2163,00:09,14.71,14.67,Mid-Distance,80.0,180.0,Large,15.99,15.99,Medium speed,22.6
10427,424482 (2008 DG5),2163,00:15,8.97,8.95,Mid-Distance,310.0,700.0,Large,6.82,6.8,Slow,19.7
10428,163348 (2002 NN4),2163,00:01,7.50,7.49,Mid-Distance,735.0,243.0,Large,12.64,12.63,Medium speed,20.1
10429,(2010 NK1),2163,00:43,19.43,18.48,Mid-Distance,219.0,2.0,Small,8.54,8.53,Slow,22.4
10430,(2017 QC17),2163,00:01,7.31,7.29,Mid-Distance,97.0,220.0,Large,15.24,15.23,Medium speed,22.2
10431,(2016 NF23),2163,03:08,13.09,12.82,Mid-Distance,70.0,160.0,Large,9.07,9.07,Slow,22.9
10432,385252 (2001 EB18),2163,00:01,10.92,10.92,Mid-Distance,350.0,780.0,Large,26.05,26.05,Fast,19.4
10433,(1998 SD9),2163,00:01,3.59,3.59,Mid-Distance,40.0,90.0,Large,10.36,10.34,Medium speed,24.1
10434,(2005 FG),2163,00:05,10.24,10.22,Mid-Distance,44.0,99.0,Large,6.11,6.09,Slow,23.9
10435,(2015 SY),2163,00:02,15.87,15.81,Mid-Distance,58.0,130.0,Large,13.73,13.73,Medium speed,23.3
10436,(2019 QV),2163,22:01,18.96,18.56,Mid-Distance,84.0,190.0,Large,9.7,9.7,Slow,22.5
10437,349507 (2008 QY),2163,00:01,14.00,14.00,Mid-Distance,520000.0,1200.0,Large,20.13,20.13,Fast,18.5
10438,(2013 SM20),2163,00:24,18.96,18.95,Mid-Distance,25.0,57.0,Large,5.75,5.74,Slow,25.1
10439,(2019 HM),2163,19:12,14.62,9.90,Mid-Distance,18.0,39.0,Small,3.38,3.35,Slow,25.9
10440,(1998 HH49),2163,20:34,1.69,1.23,Far Away,140.0,320.0,Large,14.67,14.63,Medium speed,21.3
10441,(2011 GA),2163,15:04,15.92,12.60,Mid-Distance,180.0,410.0,Large,18.09,18.09,Medium speed,20.8
10442,(2020 TQ6),2163,08:04,18.75,17.44,Mid-Distance,32.0,71.0,Large,14.6,14.6,Medium speed,24.6
10443,(2010 UP),2163,13:22,14.05,5.66,Mid-Distance,31.0,68.0,Large,5.02,5.01,Slow,24.7
10444,(2021 VC),2163,17:29,17.84,8.82,Mid-Distance,13.0,29.0,Small,7.33,7.32,Slow,26.5
10445,(2017 XO2),2163,00:30,10.64,10.54,Mid-Distance,88.0,200.0,Large,13.29,13.28,Medium speed,22.4
10446,(2019 XS),2163,09:07,8.90,2.51,Far Away,45.0,100.0,Large,9.92,9.91,Slow,23.9
10447,(2006 VX2),2163,00:01,13.56,13.56,Mid-Distance,32.0,71.0,Large,10.15,10.14,Medium speed,24.6
10448,(2009 WB105),2163,00:01,19.19,19.14,Mid-Distance,54.0,120.0,Large,19.03,19.03,Medium speed,23.5
10449,162039 (1996 JG),2163,00:13,12.85,12.80,Mid-Distance,410.0,910.0,Large,20.92,20.91,Fast,19.1
10450,(2012 XT111),2163,00:25,3.88,3.83,Mid-Distance,18.0,39.0,Small,13.91,13.89,Medium speed,25.9
10451,162474 (2000 LB16),2163,00:01,4.29,4.29,Mid-Distance,560000.0,1200.0,Large,28.12,28.12,Fast,18.4
10452,162173 Ryugu (1999 JU3),2163,03:11,18.21,18.12,Mid-Distance,350.0,790.0,Large,4.07,4.06,Slow,19.4
10453,(2010 WR7),2163,01:05,15.01,14.67,Mid-Distance,53.0,120.0,Large,7.84,7.83,Slow,23.5
10454,(2018 XE4),2163,00:16,4.58,4.56,Mid-Distance,14.0,31.0,Small,9.62,9.59,Slow,26.4
10455,453563 (2010 BB),2164,01:23,10.83,10.66,Mid-Distance,240.0,530.0,Large,7.68,7.67,Slow,20.3
